country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2023-11-19,Films,1,The Killer,N/A,2
Argentina,AR,2023-11-19,Films,2,Mam? se fue de viaje,N/A,2
Argentina,AR,2023-11-19,Films,3,Monster Hunter,N/A,1
Argentina,AR,2023-11-19,Films,4,F9: The Fast Saga,N/A,2
Argentina,AR,2023-11-19,Films,5,Best. Christmas. Ever!,N/A,1
Argentina,AR,2023-11-19,Films,6,Heatwave,N/A,1
Argentina,AR,2023-11-19,Films,7,Locked In,N/A,3
Argentina,AR,2023-11-19,Films,8,Summer Vacation,N/A,2
Argentina,AR,2023-11-19,Films,9,El ?ltimo traje,N/A,1
Argentina,AR,2023-11-19,Films,10,I Married a Dumbass,N/A,2
Argentina,AR,2023-11-19,TV,1,Criminal Code,Criminal Code: Season 1,1
Argentina,AR,2023-11-19,TV,2,The Crown,The Crown: Season 6,1
Argentina,AR,2023-11-19,TV,3,All the Light We Cannot See,All the Light We Cannot See: Limited Series,3
Argentina,AR,2023-11-19,TV,4,The Tailor,The Tailor: Season 3,3
Argentina,AR,2023-11-19,TV,5,Suburr?terna,Suburr?terna: Season 1,1
Argentina,AR,2023-11-19,TV,6,Pact of Silence,Pact of Silence: Season 1,6
Argentina,AR,2023-11-19,TV,7,How to Become a Mob Boss,How to Become a Mob Boss: Season 1,1
Argentina,AR,2023-11-19,TV,8,Cigarette Girl,Cigarette Girl: Season 1,1
Argentina,AR,2023-11-19,TV,9,Ferry: The Series,Ferry: The Series: The Series,2
Argentina,AR,2023-11-19,TV,10,Elite,Elite: Season 7,5
Argentina,AR,2023-11-12,Films,1,F9: The Fast Saga,N/A,1
Argentina,AR,2023-11-12,Films,2,The Killer,N/A,1
Argentina,AR,2023-11-12,Films,3,Locked In,N/A,2
Argentina,AR,2023-11-12,Films,4,Summer Vacation,N/A,1
Argentina,AR,2023-11-12,Films,5,Deep Fear,N/A,1
Argentina,AR,2023-11-12,Films,6,Wingwomen,N/A,2
Argentina,AR,2023-11-12,Films,7,NYAD,N/A,2
Argentina,AR,2023-11-12,Films,8,Pain Hustlers,N/A,3
Argentina,AR,2023-11-12,Films,9,Mam? se fue de viaje,N/A,1
Argentina,AR,2023-11-12,Films,10,I Married a Dumbass,N/A,1
Argentina,AR,2023-11-12,TV,1,All the Light We Cannot See,All the Light We Cannot See: Limited Series,2
Argentina,AR,2023-11-12,TV,2,The Tailor,The Tailor: Season 3,2
Argentina,AR,2023-11-12,TV,3,"The Billionaire, The Butler, and the Boyfriend","The Billionaire, The Butler, and the Boyfriend: Limited Series",1
Argentina,AR,2023-11-12,TV,4,Ferry: The Series,Ferry: The Series: The Series,1
Argentina,AR,2023-11-12,TV,5,Pact of Silence,Pact of Silence: Season 1,5
Argentina,AR,2023-11-12,TV,6,Elite,Elite: Season 7,4
Argentina,AR,2023-11-12,TV,7,Bodies,Bodies: Limited Series,4
Argentina,AR,2023-11-12,TV,8,Lupin,Lupin: Part 3,6
Argentina,AR,2023-11-12,TV,9,Unicorn Academy,Unicorn Academy: Chapter 1,2
Argentina,AR,2023-11-12,TV,10,Untameable,Untameable: Season 1,1
Argentina,AR,2023-11-05,Films,1,Locked In,N/A,1
Argentina,AR,2023-11-05,Films,2,Wingwomen,N/A,1
Argentina,AR,2023-11-05,Films,3,Cold Pursuit,N/A,2
Argentina,AR,2023-11-05,Films,4,Pain Hustlers,N/A,2
Argentina,AR,2023-11-05,Films,5,Herself,N/A,1
Argentina,AR,2023-11-05,Films,6,Land,N/A,1
Argentina,AR,2023-11-05,Films,7,Hatching,N/A,1
Argentina,AR,2023-11-05,Films,8,Sister Death,N/A,2
Argentina,AR,2023-11-05,Films,9,NYAD,N/A,1
Argentina,AR,2023-11-05,Films,10,Burning Betrayal,N/A,2
Argentina,AR,2023-11-05,TV,1,All the Light We Cannot See,All the Light We Cannot See: Limited Series,1
Argentina,AR,2023-11-05,TV,2,Pact of Silence,Pact of Silence: Season 1,4
Argentina,AR,2023-11-05,TV,3,Elite,Elite: Season 7,3
Argentina,AR,2023-11-05,TV,4,Bodies,Bodies: Limited Series,3
Argentina,AR,2023-11-05,TV,5,Lupin,Lupin: Part 3,5
Argentina,AR,2023-11-05,TV,6,Life on Our Planet,Life on Our Planet: Season 1,2
Argentina,AR,2023-11-05,TV,7,The Tailor,The Tailor: Season 3,1
Argentina,AR,2023-11-05,TV,8,The Fall of the House of Usher,The Fall of the House of Usher: Season 1,4
Argentina,AR,2023-11-05,TV,9,The Tom and Jerry Show,The Tom and Jerry Show: Season 3,1
Argentina,AR,2023-11-05,TV,10,Unicorn Academy,Unicorn Academy: Chapter 1,1
Argentina,AR,2023-10-29,Films,1,Cold Pursuit,N/A,1
Argentina,AR,2023-10-29,Films,2,The Quake,N/A,2
Argentina,AR,2023-10-29,Films,3,The Burning Sea,N/A,1
Argentina,AR,2023-10-29,Films,4,Burning Betrayal,N/A,1
Argentina,AR,2023-10-29,Films,5,Pain Hustlers,N/A,1
Argentina,AR,2023-10-29,Films,6,Old Dads,N/A,1
Argentina,AR,2023-10-29,Films,7,"Single, Married, Widowed, Divorced",N/A,1
Argentina,AR,2023-10-29,Films,8,Heaven in Hell,N/A,2
Argentina,AR,2023-10-29,Films,9,Sister Death,N/A,1
Argentina,AR,2023-10-29,Films,10,Scary Movie,N/A,2
Argentina,AR,2023-10-29,TV,1,Elite,Elite: Season 7,2
Argentina,AR,2023-10-29,TV,2,Pact of Silence,Pact of Silence: Season 1,3
Argentina,AR,2023-10-29,TV,3,Bodies,Bodies: Limited Series,2
Argentina,AR,2023-10-29,TV,4,Lupin,Lupin: Part 3,4
Argentina,AR,2023-10-29,TV,5,Life on Our Planet,Life on Our Planet: Season 1,1
Argentina,AR,2023-10-29,TV,6,The Fall of the House of Usher,The Fall of the House of Usher: Season 1,3
Argentina,AR,2023-10-29,TV,7,Learning and fun with Jose Comelon,N/A,2
Argentina,AR,2023-10-29,TV,8,Lupin,Lupin: Part 1,4
Argentina,AR,2023-10-29,TV,9,Lupin,Lupin: Part 2,4
Argentina,AR,2023-10-29,TV,10,Beckham,Beckham: Limited Series,4
